rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,date,channel_type_count,countYTB,avg_monthly_earnings,avg_yearly_earnings,subscribers_s,video views_s,uploads_s,avg_monthly_earnings_s,channel_type_count_s
1,T-Series,245000000,228000000000.0,Music,T-Series,20082,India,IN,Music,1.0,1.0,1.0,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2000000.0,2006.0,Mar,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2006,Mar,13",215.0,0.5,4782300.0,57600000.0,10.0,10.0,0.6664940857859732,6.61868810939111,7.05298013245033
2,YouTube Movies,170000000,0.0,Film & Animation,youtubemovies,1,United States,US,Games,4055159.0,7670.0,7423.0,12.0,0.0,0.05,0.04,0.58,,2006.0,Mar,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2006,Mar,5",97.0,0.5,0.025,0.31,6.776966050709069,0.0,3.318863090259801e-05,3.459992111217986e-08,3.14569536423841
3,MrBeast,166000000,28368841870.0,Entertainment,MrBeast,741,United States,US,Entertainment,48.0,1.0,1.0,1348000000.0,337000.0,5400000.0,4000000.0,64700000.0,8000000.0,2012.0,Feb,20.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2012,Feb,20",304.0,0.5,2868500.0,34350000.0,6.605070906746886,1.2442474504385963,0.0245927754988251,3.9699949484115176,10.0
4,Cocomelon - Nursery Rhymes,162000000,164000000000.0,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2.0,2.0,1.0,1975000000.0,493800.0,7900000.0,5900000.0,94800000.0,1000000.0,2006.0,Sep,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2006,Sep,1",49.0,0.5,4196900.0,50350000.0,6.433175762784703,7.192982456140351,0.0320602174519096,5.808496356628306,1.5562913907284766
5,SET India,159000000,148000000000.0,Shows,SET India,116536,India,IN,Entertainment,3.0,2.0,2.0,1824000000.0,455900.0,7300000.0,5500000.0,87500000.0,1000000.0,2006.0,Sep,20.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2006,Sep,20",304.0,0.5,3877950.0,46500000.0,6.304254404813066,6.491228070175438,3.8676702908651617,5.367070563079116,10.0
6,Music,119000000,0.0,,Music,0,,,Music,4057944.0,,,,0.0,0.0,0.0,0.0,,2013.0,Sep,24.0,,,,,,,"2013,Sep,24",215.0,0.5,0.0,0.0,4.585302965191234,0.0,0.0,0.0,7.05298013245033
7,ÃÂÃÂ½ÃÂÃÂ½ÃÂÃÂ½ Kids Diana Show,112000000,93247040539.0,People & Blogs,ÃÂÃÂ½ÃÂÃÂ½ÃÂÃÂ½ Kids Diana Show,1111,United States,US,Entertainment,5.0,3.0,3.0,731674000.0,182900.0,2900000.0,2200000.0,35100000.0,,2015.0,May,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2015,May,12",304.0,0.5,1541450.0,18650000.0,4.284486463257414,4.089782479780702,0.0368725689327863,2.133361935934786,10.0
8,PewDiePie,111000000,29058044447.0,Gaming,PewDiePie,4716,Japan,JP,Entertainment,44.0,1.0,4.0,39184000.0,9800.0,156700.0,117600.0,1900000.0,,2010.0,Apr,29.0,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924,"2010,Apr,29",304.0,0.5,83250.0,1008800.0,4.241512677266868,1.2744756336403509,0.1565175833366522,0.1152177373035589,10.0
9,Like Nastya,106000000,90479060027.0,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630.0,5.0,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,100000.0,2016.0,Jan,14.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756,"2016,Jan,14",101.0,0.5,104000.0,1223400.0,4.026643747314139,3.9683798257456138,0.0163619950349808,0.1439356718266682,3.278145695364238
10,Vlad and Niki,98900000,77180169894.0,Entertainment,Vlad and Niki,574,United States,US,Entertainment,8.0,5.0,6.0,580574000.0,145100.0,2300000.0,1700000.0,27900000.0,600000.0,2018.0,Apr,23.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2018,Apr,23",304.0,0.5,1222550.0,14800000.0,3.721529866781264,3.3850951707894734,0.0190502741380912,1.6920053422278196,10.0
